Fold,MAE,RMSE,R,Acc±1,Acc±2,Params,ModelMB,CPUms
1,1.605605,2.1603594,0.6609466075897217,0.5246913580246914,0.6975308641975309,42481,0.17199993133544922,1.2523889541625977
2,0.6856308,0.8159844,0.4936121106147766,0.8366013071895425,1.0,42481,0.17199993133544922,1.716928482055664
3,0.9059536,1.0474484,0.8172484040260315,0.5670731707317073,0.9695121951219512,42481,0.17199993133544922,2.0531654357910156
4,1.3601582,1.4689547,0.2800469994544983,0.4451219512195122,1.0,42481,0.17199993133544922,1.9029664993286133
5,0.93067175,1.1174998,0.8798209428787231,0.6956521739130435,0.906832298136646,42481,0.17199993133544922,2.1631908416748047
SUMMARY_MEAN,1.0976038694381713,1.322049343585968,0.6263350129127503,0.6138279922156994,0.9147750714912256,42481.0,0.17199993133544922,1.817728042602539
SUMMARY_STD,0.33505757968494143,0.4685494175016029,0.21882950401736495,0.1377796993249614,0.11382518423727218,0.0,0.0,0.3199405390018026
