Subject,MAE,RMSE,R,Acc±1,Acc±2,Params,ModelMB,CPUms
1,0.57408434,0.7120159,-0.11001136153936386,0.8214285714285714,0.9880952380952381,42481,0.17187786102294922,1.120443344116211
2,1.137802,1.6246058,-0.3992358446121216,0.46153846153846156,0.8333333333333334,42481,0.17187786102294922,1.644124984741211
3,1.0049732,1.2681894,-0.19943752884864807,0.3924050632911392,0.759493670886076,42481,0.17187786102294922,2.555699348449707
4,1.4227697,1.5844228,-0.1830441653728485,0.24390243902439024,0.6829268292682927,42481,0.17187786102294922,1.4297866821289062
5,0.6210433,0.68271554,0.06050924211740494,0.9634146341463414,1.0,42481,0.17187786102294922,1.4744138717651367
SUMMARY_MEAN,0.9521345019340515,1.174389898777008,-0.16624393165111542,0.5765378338857807,0.8527698143165882,42481.0,0.17187786102294922,1.6448936462402344
SUMMARY_STD,0.3197827686944475,0.4086937873258893,0.1484913452082079,0.271079756040849,0.12483152902503482,0.0,0.0,0.4857880395666494
