epoch,train_loss,val_mae,val_rmse,val_r,val_acc1,val_acc2
1,57.32500114440918,96.75907,96.760864,0.05798700451850891,0.0,0.0
2,56.62450065612793,95.632195,95.63398,0.015644114464521408,0.0,0.0
3,55.98753128051758,94.63648,94.63825,0.0455930121243,0.0,0.0
4,55.37449913024902,93.61552,93.617325,0.004656738601624966,0.0,0.0
5,54.75437908172607,92.54373,92.545555,-0.0037749623879790306,0.0,0.0
6,54.08920192718506,91.40093,91.40277,0.014876204542815685,0.0,0.0
7,53.37035503387451,90.17913,90.18099,0.017737528309226036,0.0,0.0
8,52.611795043945314,88.87835,88.88025,0.0059699127450585365,0.0,0.0
9,51.81216888427734,87.49238,87.49429,0.0061872550286352634,0.0,0.0
10,50.949997901916504,86.01377,86.01572,0.016606401652097702,0.0,0.0
11,50.038080024719235,84.43852,84.44051,0.0025767150800675154,0.0,0.0
12,49.0663179397583,82.76303,82.76506,0.009773405268788338,0.0,0.0
13,48.035291481018064,80.98729,80.989365,0.0134045435115695,0.0,0.0
14,46.94424266815186,79.10725,79.10937,0.002253817394375801,0.0,0.0
15,45.790594291687015,77.12545,77.12763,0.022397158667445183,0.0,0.0
16,44.57771472930908,75.03848,75.040726,0.015506971627473831,0.0,0.0
17,43.29632301330567,72.84431,72.84662,-0.008698750287294388,0.0,0.0
18,41.95459880828857,70.54278,70.54516,0.03412383422255516,0.0,0.0
19,40.54247150421143,68.12955,68.13201,0.007641686126589775,0.0,0.0
20,39.076428985595705,65.605804,65.60837,0.03418411687016487,0.0,0.0
21,37.53133430480957,62.966965,62.969627,0.02279587835073471,0.0,0.0
22,35.9180830001831,60.211414,60.214203,0.023101553320884705,0.0,0.0
23,34.2408411026001,57.336605,57.339527,0.03795572742819786,0.0,0.0
24,32.49170112609863,54.339546,54.34264,0.011945021338760853,0.0,0.0
25,30.657098484039306,51.218525,51.22179,0.03222483769059181,0.0,0.0
26,28.765151977539062,47.970787,47.97428,0.03338753432035446,0.0,0.0
27,26.79661626815796,44.59483,44.598583,0.05153445154428482,0.0,0.0
28,24.77433910369873,41.087196,41.091278,0.04295550659298897,0.0,0.0
29,22.603452491760255,37.44454,37.449017,0.03128107264637947,0.0,0.0
30,20.369455814361572,33.665817,33.670803,0.04180855304002762,0.0,0.0
31,18.08565835952759,29.749002,29.75464,0.0433204211294651,0.0,0.0
32,15.699419450759887,25.690287,25.69682,0.0330815464258194,0.0,0.0
33,13.238725709915162,21.488922,21.496721,0.0547998882830143,0.0,0.0
34,10.666835689544678,17.139425,17.149214,0.02468961849808693,0.0,0.0
35,8.025190734863282,12.644611,12.657859,0.0531788133084774,0.0,0.0
36,5.29935393333435,7.997251,8.018189,0.045332346111536026,0.0,0.0
37,2.506906920671463,3.19858,3.2505808,0.04350681230425835,0.0,0.03048780487804878
38,0.9178907394409179,1.3601582,1.4689547,0.2800469994544983,0.4451219512195122,1.0
39,0.7548557400703431,1.545083,1.6594464,0.11439435184001923,0.21951219512195122,0.7560975609756098
40,0.611241452395916,1.7636629,1.8681375,0.2749617099761963,0.11585365853658537,0.5914634146341463
41,0.5556192845106125,2.3764203,2.5308754,0.25036248564720154,0.06097560975609756,0.3170731707317073
42,0.5110436543822289,2.0672085,2.2141597,0.2391044646501541,0.10975609756097561,0.39634146341463417
43,0.476901239156723,2.5253153,2.6622066,0.24993354082107544,0.054878048780487805,0.24390243902439024
44,0.5099141135811806,2.377445,2.5410633,0.23830240964889526,0.06707317073170732,0.29878048780487804
45,0.44342059940099715,2.222006,2.387037,0.23076125979423523,0.10975609756097561,0.34146341463414637
46,0.4397040128707886,2.1645412,2.342524,0.22808648645877838,0.12195121951219512,0.3780487804878049
47,0.4403736934065819,2.2067394,2.368694,0.22471344470977783,0.10365853658536585,0.3597560975609756
48,0.4385255455970764,2.114214,2.2717443,0.21312397718429565,0.11585365853658537,0.39634146341463417
49,0.4338026523590088,2.3731756,2.5297666,0.21322691440582275,0.06707317073170732,0.3048780487804878
50,0.4405401095747948,2.187821,2.3474061,0.2095421403646469,0.10365853658536585,0.3780487804878049
