epoch,train_loss,val_mae,val_rmse,val_r,val_acc1,val_acc2
1,54.773782094319664,96.34961,96.353905,-0.4372110962867737,0.0,0.0
2,54.50157928466797,95.79135,95.7956,-0.34778913855552673,0.0,0.0
3,54.22899427868071,95.303024,95.30722,-0.3423405587673187,0.0,0.0
4,53.94869413829985,94.903305,94.90747,-0.2177819311618805,0.0,0.0
5,53.725370316278365,94.482605,94.48677,-0.13624705374240875,0.0,0.0
6,53.46170498075939,94.01119,94.01537,-0.12086185812950134,0.0,0.0
7,53.207435244605655,93.48577,93.489975,-0.13652803003787994,0.0,0.0
8,52.87988517397926,92.9117,92.915924,-0.06888147443532944,0.0,0.0
9,52.55625297909691,92.28748,92.29175,-0.103829026222229,0.0,0.0
10,52.166528792608354,91.61113,91.615425,-0.1050330176949501,0.0,0.0
11,51.76649711245582,90.88067,90.884995,-0.08174476027488708,0.0,0.0
12,51.34252766200474,90.095795,90.10016,-0.14465473592281342,0.0,0.0
13,50.89960661388579,89.25518,89.25959,-0.09851256757974625,0.0,0.0
14,50.40199824741909,88.35795,88.3624,-0.052977852523326874,0.0,0.0
15,49.88717669532413,87.4035,87.408005,-0.08567965775728226,0.0,0.0
16,49.34735234578451,86.38833,86.39287,-0.10630102455615997,0.0,0.0
17,48.7389037722633,85.315254,85.319855,-0.0807124674320221,0.0,0.0
18,48.11285291399275,84.18054,84.18521,-0.1083357036113739,0.0,0.0
19,47.45611699422201,82.9841,82.988846,-0.08773268759250641,0.0,0.0
20,46.76115926106771,81.72397,81.72878,-0.10251835733652115,0.0,0.0
21,46.05266280401321,80.399315,80.404205,-0.08604122698307037,0.0,0.0
22,45.23648452758789,79.00819,79.01316,-0.10079062730073929,0.0,0.0
23,44.478321802048455,77.55141,77.55648,-0.1366032361984253,0.0,0.0
24,43.62351971580868,76.025406,76.03057,-0.0731884241104126,0.0,0.0
25,42.77279790242513,74.42942,74.43469,-0.09412658959627151,0.0,0.0
26,41.83948607671829,72.76369,72.76908,-0.07552292197942734,0.0,0.0
27,40.87155006045387,71.02361,71.02914,-0.0495702363550663,0.0,0.0
28,39.87922559465681,69.21115,69.216835,-0.06374449282884598,0.0,0.0
29,38.835631415957494,67.32391,67.32974,-0.061990294605493546,0.0,0.0
30,37.751265389578684,65.358826,65.36485,-0.14997518062591553,0.0,0.0
31,36.6012936546689,63.318462,63.32467,-0.13782086968421936,0.0,0.0
32,35.459262302943635,61.1987,61.205128,-0.08598672598600388,0.0,0.0
33,34.22590600876581,58.998074,59.00474,-0.09385417401790619,0.0,0.0
34,32.97174199422201,56.71669,56.72362,-0.12580622732639313,0.0,0.0
35,31.65687370300293,54.352474,54.35971,-0.09019611775875092,0.0,0.0
36,30.288978939964657,51.904026,51.911606,-0.12826359272003174,0.0,0.0
37,28.88702937534877,49.37156,49.37952,-0.060482386499643326,0.0,0.0
38,27.451248895554315,46.752087,46.760494,-0.09479470551013947,0.0,0.0
39,25.958614894321986,44.044033,44.052956,-0.07554875314235687,0.0,0.0
40,24.388879140218098,41.24693,41.256466,-0.12454991787672043,0.0,0.0
41,22.80232166108631,38.360344,38.370598,-0.12550371885299683,0.0,0.0
42,21.142566499255953,35.38147,35.392574,-0.057853151112794876,0.0,0.0
43,19.450524466378347,32.309124,32.321304,-0.1583736687898636,0.0,0.0
44,17.6877623966762,29.14436,29.157825,-0.004151863977313042,0.0,0.0
45,15.870495659964424,25.882086,25.897274,-0.09851950407028198,0.0,0.0
46,13.996283758254279,22.523203,22.540659,-0.11357081681489944,0.0,0.0
47,12.090693610055107,19.067871,19.08847,-0.06234370172023773,0.0,0.0
48,10.104385920933314,15.511413,15.536772,-0.16669312119483948,0.0,0.0
49,8.063186781747001,11.854915,11.888076,-0.17337235808372498,0.0,0.0
50,5.986233983721052,8.096868,8.145302,-0.11665564775466919,0.0,0.0
51,3.8585154556092762,4.2357554,4.327579,-0.08895257115364075,0.0,0.0
52,1.7858178104673113,0.7863427,0.9270098,-0.02467930130660534,0.6862745098039216,1.0
53,0.8557121767884209,1.2923768,1.5564332,0.46623000502586365,0.3202614379084967,0.8562091503267973
54,0.7572289818809146,0.6856308,0.8159844,0.4936121106147766,0.8366013071895425,1.0
55,0.7235460338138399,0.966916,1.1550074,0.5206373333930969,0.5032679738562091,0.9477124183006536
56,0.6810903492428008,0.69500065,0.8519932,0.5497485399246216,0.7712418300653595,0.9803921568627451
57,0.6411570551849547,0.7606384,0.9223123,0.6113302707672119,0.673202614379085,0.9803921568627451
58,0.5925434345290774,1.235935,1.3793131,0.6130548715591431,0.39215686274509803,0.9215686274509803
59,0.6252577986036029,0.96510494,1.127256,0.5958777070045471,0.5424836601307189,0.9477124183006536
60,0.6049754009360359,1.0029594,1.1592822,0.6134081482887268,0.5098039215686274,0.9477124183006536
61,0.6099839253085,0.9521622,1.1047151,0.6372969150543213,0.5163398692810458,0.9477124183006536
62,0.5849244708106631,0.93720907,1.0945162,0.6349181532859802,0.5555555555555556,0.954248366013072
63,0.5588748511813936,0.77115613,0.9297363,0.6529845595359802,0.6797385620915033,0.9869281045751634
64,0.5843606747332073,0.8902049,1.0429747,0.6560394763946533,0.6339869281045751,0.9803921568627451
65,0.5640734717959449,0.81196827,0.9635134,0.6562269330024719,0.6862745098039216,1.0
66,0.570696492989858,0.8214343,0.973566,0.6543402075767517,0.6797385620915033,0.9934640522875817
