epoch,train_loss,val_mae,val_rmse,val_r,val_acc1,val_acc2
1,69.0856690179734,94.92385,94.94721,-0.438551127910614,0.0,0.0
2,68.59996178036644,94.34678,94.36998,-0.3956587314605713,0.0,0.0
3,68.17192150297619,93.79448,93.81769,-0.37910521030426025,0.0,0.0
4,67.76833815801712,93.15971,93.183,-0.2436578869819641,0.0,0.0
5,67.2234856741769,92.456215,92.47962,-0.1281169205904007,0.0,0.0
6,66.70360783168248,91.71065,91.73424,-0.11166182905435562,0.0,0.0
7,66.21647099086216,90.92319,90.94697,-0.06490994244813919,0.0,0.0
8,65.54885609944661,90.0859,90.109924,-0.12067645788192749,0.0,0.0
9,65.01917666480655,89.18962,89.21385,-0.025843074545264244,0.0,0.0
10,64.28188305809384,88.2281,88.25261,-0.07803914695978165,0.0,0.0
11,63.58670316423689,87.19828,87.22306,-0.018631475046277046,0.0,0.0
12,62.88557234264555,86.09778,86.12289,-0.03634495288133621,0.0,0.0
13,61.99075390043713,84.92526,84.950714,-0.052235014736652374,0.0,0.0
14,61.15365963890439,83.679756,83.70558,-0.03497679904103279,0.0,0.0
15,60.27658916655041,82.359215,82.38545,0.015345768071711063,0.0,0.0
16,59.33408446539016,80.96342,80.99011,-0.041541095823049545,0.0,0.0
17,58.25571532476516,79.48952,79.5167,-0.02431277558207512,0.0,0.0
18,57.21083032517206,77.93887,77.9666,-0.020090147852897644,0.0,0.0
19,56.017418634323846,76.30683,76.33515,-0.016019219532608986,0.0,0.0
20,54.87588682628813,74.59385,74.62282,-0.05634317919611931,0.0,0.0
21,53.61186091105143,72.79801,72.8277,-0.04224764183163643,0.0,0.0
22,52.287808917817614,70.91742,70.94791,-0.06889425963163376,0.0,0.0
23,50.95575169154576,68.95008,68.9814,0.0408032052218914,0.0,0.0
24,49.46650641305106,66.89676,66.92908,-0.0755109116435051,0.0,0.0
25,48.02935482206799,64.752914,64.786285,-0.03354912996292114,0.0,0.0
26,46.45782924833752,62.518627,62.55321,-0.08792842924594879,0.0,0.0
27,44.83774185180664,60.190575,60.226467,-0.009619921445846558,0.0,0.0
28,43.123980385916575,57.769913,57.80731,-0.02796945348381996,0.0,0.0
29,41.353675115676154,55.252605,55.29172,-0.0698850080370903,0.0,0.0
30,39.54521415347145,52.638466,52.679523,-0.06359554082155228,0.0,0.0
31,37.6465931846982,49.925648,49.968983,-0.1632225513458252,0.0,0.0
32,35.68182736351376,47.110817,47.15668,-0.056499384343624115,0.0,0.0
33,33.597676595052086,44.19496,44.243855,-0.0515579916536808,0.0,0.0
34,31.468142736525763,41.175343,41.227848,-0.1149788647890091,0.0,0.0
35,29.30468731834775,38.04964,38.106438,-0.091647207736969,0.0,0.0
36,27.022904895600817,34.817516,34.87958,-0.09736233949661255,0.0,0.0
37,24.67262113661993,31.476894,31.545542,-0.11574694514274597,0.0,0.0
38,22.30343182881673,28.025831,28.102901,-0.10117726773023605,0.0,0.0
39,19.81726700919015,24.461979,24.550175,-0.02659989520907402,0.0,0.0
40,17.200660160609655,20.787134,20.890974,-0.14678789675235748,0.0,0.0
41,14.591392834981283,16.995508,17.122316,-0.11133445799350739,0.0,0.0
42,11.831152370997838,13.086159,13.250318,-0.040941908955574036,0.0,0.0
43,8.960083984193348,9.061748,9.297573,-0.18601128458976746,0.0,0.0
44,6.048184712727864,4.9524655,5.3359113,-0.08431289345026016,0.030864197530864196,0.08024691358024691
45,3.0727375518708,1.9108745,2.1776783,-0.0741853266954422,0.20987654320987653,0.5061728395061729
46,1.0231325768289112,2.2086294,3.0133536,-0.2146487981081009,0.3950617283950617,0.5185185185185185
47,0.8557909755479722,1.605605,2.1603594,0.6609466075897217,0.5246913580246914,0.6975308641975309
48,0.7079122463862101,1.5737432,2.2862306,0.6517166495323181,0.49382716049382713,0.6666666666666666
49,0.6598498054913112,1.656651,2.3765798,0.6521673798561096,0.46296296296296297,0.6358024691358025
50,0.7367423034849621,1.7136786,2.4470005,0.651075005531311,0.4444444444444444,0.6234567901234568
51,0.7365627189477285,2.1939578,2.8425038,0.6688065528869629,0.3888888888888889,0.5740740740740741
52,0.7140867341132391,2.7789428,3.2941728,0.6581655740737915,0.043209876543209874,0.42592592592592593
53,0.771406155256998,1.617457,2.3425102,0.659869372844696,0.48148148148148145,0.6358024691358025
54,0.6106292690549578,1.754888,2.4574795,0.6433976292610168,0.43209876543209874,0.6358024691358025
55,0.602772186199824,1.7683346,2.4586067,0.6344620585441589,0.43209876543209874,0.6358024691358025
56,0.6039420195988247,1.5595758,2.2691877,0.6354159116744995,0.5,0.6481481481481481
57,0.5886560990696862,1.7233212,2.399104,0.6484213471412659,0.42592592592592593,0.6358024691358025
58,0.6084873832407451,1.6160636,2.3129785,0.6494671702384949,0.4506172839506173,0.6419753086419753
59,0.579080228294645,1.72032,2.4078245,0.6486549377441406,0.43209876543209874,0.6358024691358025
